terms,category,compound,date_added
leech,nonhuman,FALSE,
leeches,nonhuman,FALSE,
legume,nonhuman,FALSE,
legumes,nonhuman,FALSE,
lemming,nonhuman,FALSE,
lemmings,nonhuman,FALSE,
lemur,nonhuman,FALSE,
lemurs,nonhuman,FALSE,
leopard,nonhuman,FALSE,
leopards,nonhuman,FALSE,
leopon,nonhuman,FALSE,
leopons,nonhuman,FALSE,
lice,nonhuman,FALSE,
liger,nonhuman,FALSE,
ligers,nonhuman,FALSE,
limpet,nonhuman,FALSE,
limpets,nonhuman,FALSE,
lion,nonhuman,FALSE,
lionfish,nonhuman,FALSE,
lionfishes,nonhuman,FALSE,
lions,nonhuman,FALSE,
lizard,nonhuman,FALSE,
lizards,nonhuman,FALSE,
llama,nonhuman,FALSE,
llamas,nonhuman,FALSE,
lobster,nonhuman,FALSE,
lobsters,nonhuman,FALSE,
locust,nonhuman,FALSE,
locusts,nonhuman,FALSE,
longspur,nonhuman,FALSE,
longspurs,nonhuman,FALSE,
loon,nonhuman,FALSE,
loons,nonhuman,FALSE,
louse,nonhuman,FALSE,
lungfish,nonhuman,FALSE,
lungfishes,nonhuman,FALSE,
lusitania,nonhuman,FALSE,
lusitaniae,nonhuman,FALSE,
lusitanias,nonhuman,FALSE,
lusitanio,nonhuman,FALSE,
lusitanios,nonhuman,FALSE,
lynx,nonhuman,FALSE,
macaque,nonhuman,FALSE,
macaques,nonhuman,FALSE,
macaw,nonhuman,FALSE,
macaws,nonhuman,FALSE,
mackerel,nonhuman,FALSE,
mackerels,nonhuman,FALSE,
magpie,nonhuman,FALSE,
magpies,nonhuman,FALSE,
magpy,nonhuman,FALSE,
malamute,nonhuman,FALSE,
malamutes,nonhuman,FALSE,
mammal,nonhuman,FALSE,
mammals,nonhuman,FALSE,
mammoth,nonhuman,FALSE,
mammoths,nonhuman,FALSE,
manakin,nonhuman,FALSE,
manakins,nonhuman,FALSE,
manatee,nonhuman,FALSE,
manatees,nonhuman,FALSE,
mandrill,nonhuman,FALSE,
mandrills,nonhuman,FALSE,
markhor,nonhuman,FALSE,
markhors,nonhuman,FALSE,
marlin,nonhuman,FALSE,
marlins,nonhuman,FALSE,
marmoset,nonhuman,FALSE,
marmosets,nonhuman,FALSE,
marmot,nonhuman,FALSE,
marmots,nonhuman,FALSE,
mars,nonhuman,FALSE,
marsupial,nonhuman,FALSE,
marsupials,nonhuman,FALSE,
marten,nonhuman,FALSE,
martens,nonhuman,FALSE,
mastiff,nonhuman,FALSE,
mastiffs,nonhuman,FALSE,
mastodon,nonhuman,FALSE,
mastodons,nonhuman,FALSE,
mayflies,nonhuman,FALSE,
mayfly,nonhuman,FALSE,
meadowlark,nonhuman,FALSE,
meadowlarks,nonhuman,FALSE,
meerkat,nonhuman,FALSE,
meerkats,nonhuman,FALSE,
mercury,nonhuman,FALSE,
mice,nonhuman,FALSE,
millipede,nonhuman,FALSE,
millipedes,nonhuman,FALSE,
mink,nonhuman,FALSE,
minks,nonhuman,FALSE,
minnow,nonhuman,FALSE,
minnows,nonhuman,FALSE,
mite,nonhuman,FALSE,
mites,nonhuman,FALSE,
mockingbird,nonhuman,FALSE,
mockingbirds,nonhuman,FALSE,
mole,nonhuman,FALSE,
moles,nonhuman,FALSE,
mollusc,nonhuman,FALSE,
molluscs,nonhuman,FALSE,
mollusk,nonhuman,FALSE,
mollusks,nonhuman,FALSE,
mongeese,nonhuman,FALSE,
mongoose,nonhuman,FALSE,
mongrel,nonhuman,FALSE,
mongrels,nonhuman,FALSE,
monkey,nonhuman,FALSE,
monkeys,nonhuman,FALSE,
moon,nonhuman,FALSE,
moons,nonhuman,FALSE,
moorhen,nonhuman,FALSE,
moorhens,nonhuman,FALSE,
moose,nonhuman,FALSE,
mooses,nonhuman,FALSE,
mosquito,nonhuman,FALSE,
mosquitoes,nonhuman,FALSE,
mosquitofish,nonhuman,FALSE,
mosquitofishes,nonhuman,FALSE,
moth,nonhuman,FALSE,
moths,nonhuman,FALSE,
mouse,nonhuman,FALSE,
mule,nonhuman,FALSE,
mules,nonhuman,FALSE,
muriqui,nonhuman,FALSE,
muriquis,nonhuman,FALSE,
musk oxen,nonhuman,FALSE,
musk oxens,nonhuman,FALSE,
muskoxen,nonhuman,FALSE,
muskoxens,nonhuman,FALSE,
narwhal,nonhuman,FALSE,
narwhals,nonhuman,FALSE,
neptune,nonhuman,FALSE,
newt,nonhuman,FALSE,
newts,nonhuman,FALSE,
nightingale,nonhuman,FALSE,
nightingales,nonhuman,FALSE,
numbat,nonhuman,FALSE,
numbats,nonhuman,FALSE,
nut,nonhuman,FALSE,
nuts,nonhuman,FALSE,
ocelot,nonhuman,FALSE,
ocelots,nonhuman,FALSE,
octopi,nonhuman,FALSE,
octopus,nonhuman,FALSE,
octopuses,nonhuman,FALSE,
okapi,nonhuman,FALSE,
okapis,nonhuman,FALSE,
olm,nonhuman,FALSE,
olms,nonhuman,FALSE,
opossum,nonhuman,FALSE,
opossums,nonhuman,FALSE,
orang-utan,nonhuman,TRUE,
orang-utans,nonhuman,TRUE,
orangutan,nonhuman,FALSE,
orangutans,nonhuman,FALSE,
orca,nonhuman,FALSE,
orcas,nonhuman,FALSE,
oriole,nonhuman,FALSE,
orioles,nonhuman,FALSE,
ostrich,nonhuman,FALSE,
ostriches,nonhuman,FALSE,
otter,nonhuman,FALSE,
otters,nonhuman,FALSE,
owl,nonhuman,FALSE,
owls,nonhuman,FALSE,
oyster,nonhuman,FALSE,
oysters,nonhuman,FALSE,
pademelon,nonhuman,FALSE,
pademelons,nonhuman,FALSE,
palm tree,nonhuman,TRUE,
palm trees,nonhuman,TRUE,
panda,nonhuman,FALSE,
pandas,nonhuman,FALSE,
panther,nonhuman,FALSE,
panthera,nonhuman,FALSE,
panthers,nonhuman,FALSE,
parakeet,nonhuman,FALSE,
parakeets,nonhuman,FALSE,
parrot,nonhuman,FALSE,
parrotfish,nonhuman,FALSE,
parrotfishes,nonhuman,FALSE,
parrots,nonhuman,FALSE,
partridge,nonhuman,FALSE,
partridges,nonhuman,FALSE,
peacock,nonhuman,FALSE,
peacocks,nonhuman,FALSE,
peafowl,nonhuman,FALSE,
peafowls,nonhuman,FALSE,
peccaries,nonhuman,FALSE,
peccary,nonhuman,FALSE,
pelican,nonhuman,FALSE,
pelicans,nonhuman,FALSE,
penguin,nonhuman,FALSE,
penguins,nonhuman,FALSE,
perch,nonhuman,FALSE,
perches,nonhuman,FALSE,
pest,nonhuman,FALSE,
pests,nonhuman,FALSE,
pheasant,nonhuman,FALSE,
pheasants,nonhuman,FALSE,
pig,nonhuman,FALSE,
pigeon,nonhuman,FALSE,
pigeons,nonhuman,FALSE,
pigs,nonhuman,FALSE,
piglet,nonhuman,FALSE,
piglets,nonhuman,FALSE,
pika,nonhuman,FALSE,
pikas,nonhuman,FALSE,
pike,nonhuman,FALSE,
pikes,nonhuman,FALSE,
pinniped,nonhuman,FALSE,
pinnipeds,nonhuman,FALSE,
pinscher,nonhuman,FALSE,
pinschers,nonhuman,FALSE,
piranha,nonhuman,FALSE,
piranhas,nonhuman,FALSE,
pistillata,nonhuman,FALSE,
planarian,nonhuman,FALSE,
planarians,nonhuman,FALSE,
planetarian,nonhuman,FALSE,
planetary,nonhuman,FALSE,
plant,nonhuman,FALSE,
plants,nonhuman,FALSE,
platypus,nonhuman,FALSE,
platypuses,nonhuman,FALSE,
pluto,nonhuman,FALSE,
pointer,nonhuman,FALSE,
pointers,nonhuman,FALSE,
ponies,nonhuman,FALSE,
pony,nonhuman,FALSE,
poodle,nonhuman,FALSE,
poodles,nonhuman,FALSE,
porcupine,nonhuman,FALSE,
porcupines,nonhuman,FALSE,
porpoise,nonhuman,FALSE,
porpoises,nonhuman,FALSE,
possum,nonhuman,FALSE,
possums,nonhuman,FALSE,
prawn,nonhuman,FALSE,
prawns,nonhuman,FALSE,
praying mantis,nonhuman,TRUE,
praying mantises,nonhuman,TRUE,
primate,nonhuman,FALSE,
primates,nonhuman,FALSE,
protoplasm,nonhuman,FALSE,
protoplast,nonhuman,FALSE,
protoplasts,nonhuman,FALSE,
ptarmigan,nonhuman,FALSE,
ptarmigans,nonhuman,FALSE,
puffer,nonhuman,FALSE,
puffers,nonhuman,FALSE,
puffin,nonhuman,FALSE,
puffins,nonhuman,FALSE,
pug,nonhuman,FALSE,
pugs,nonhuman,FALSE,
puma,nonhuman,FALSE,
pumas,nonhuman,FALSE,
pupfish,nonhuman,FALSE,
pupfishes,nonhuman,FALSE,
python,nonhuman,FALSE,
pythons,nonhuman,FALSE,
quail,nonhuman,FALSE,
quails,nonhuman,FALSE,
quelea,nonhuman,FALSE,
queleas,nonhuman,FALSE,
quetzal,nonhuman,FALSE,
quetzals,nonhuman,FALSE,
quokka,nonhuman,FALSE,
quokkas,nonhuman,FALSE,
quoll,nonhuman,FALSE,
quolls,nonhuman,FALSE,
rabbit,nonhuman,FALSE,
rabbits,nonhuman,FALSE,
raccoon,nonhuman,FALSE,
raccoons,nonhuman,FALSE,
rajiformes,nonhuman,FALSE,
ram,nonhuman,FALSE,
rams,nonhuman,FALSE,
rat,nonhuman,FALSE,
rats,nonhuman,FALSE,
rattlesnake,nonhuman,FALSE,
rattlesnakes,nonhuman,FALSE,
raven,nonhuman,FALSE,
ravens,nonhuman,FALSE,
reindeer,nonhuman,FALSE,
reindeers,nonhuman,FALSE,
reptile,nonhuman,FALSE,
reptiles,nonhuman,FALSE,
retriever,nonhuman,FALSE,
retrievers,nonhuman,FALSE,
rhea,nonhuman,FALSE,
rheas,nonhuman,FALSE,
rhesus,nonhuman,FALSE,
rhesuses,nonhuman,FALSE,
